Date,EVCount,AvgElectricRange
2014-02-17,84,129.0692308
2014-02-24,71,129.0846154
2014-03-03,61,129.1
2014-03-10,71,129.1153846
2014-03-17,93,129.1307692
2014-03-24,93,129.1461538
2014-03-31,79,129.1615385
2014-04-07,122,129.1769231
2014-04-14,85,129.1923077
2014-04-21,56,129.2076923
2014-04-28,59,129.2230769
2014-05-05,65,129.2384615
2014-05-12,133,129.2538462
2014-05-19,72,129.2692308
2014-05-26,75,129.2846154
2014-06-02,123,129.3
2014-06-09,142,129.7326923
2014-06-16,104,130.1653846
2014-06-23,137,130.5980769
2014-06-30,87,131.0307692
2014-07-07,151,131.4634615
2014-07-14,141,131.8961538
2014-07-21,86,132.3288462
2014-07-28,160,132.7615385
2014-08-04,133,133.1942308
2014-08-11,84,133.6269231
2014-08-18,109,134.0596154
2014-08-25,105,134.4923077
2014-09-01,79,134.925
2014-09-08,115,135.3576923
2014-09-15,138,135.7903846
2014-09-22,111,136.2230769
2014-09-29,104,136.6557692
2014-10-06,118,137.0884615
2014-10-13,210,137.5211538
2014-10-20,173,137.9538462
2014-10-27,167,138.3865385
2014-11-03,103,138.8192308
2014-11-10,105,139.2519231
2014-11-17,130,139.6846154
2014-11-24,66,140.1173077
2014-12-01,91,140.55
2014-12-08,142,140.9826923
2014-12-15,108,141.4153846
2014-12-22,83,141.8480769
2014-12-29,97,142.2807692
2015-01-05,118,142.7134615
2015-01-12,130,143.1461538
2015-01-19,122,143.5788462
2015-01-26,125,144.0115385
2015-02-02,145,144.4442308
2015-02-09,66,144.8769231
2015-02-16,59,145.3096154
2015-02-23,81,145.7423077
2015-03-02,108,146.175
2015-03-09,92,146.6076923
2015-03-16,98,147.0403846
2015-03-23,99,147.4730769
2015-03-30,123,147.9057692
2015-04-06,151,148.3384615
2015-04-13,86,148.7711538
2015-04-20,139,149.2038462
2015-04-27,141,149.6365385
2015-05-04,79,150.0692308
2015-05-11,96,150.5019231
2015-05-18,152,150.9346154
2015-05-25,85,151.3673077
2015-06-01,127,151.8
2015-06-08,176,152.4716981
2015-06-15,138,153.1433962
2015-06-22,144,153.8150943
2015-06-29,122,154.4867925
2015-07-06,123,155.1584906
2015-07-13,319,155.8301887
2015-07-20,188,156.5018868
2015-07-27,116,157.1735849
2015-08-03,125,157.845283
2015-08-10,154,158.5169811
2015-08-17,148,159.1886792
2015-08-24,135,159.8603774
2015-08-31,140,160.5320755
2015-09-07,131,161.2037736
2015-09-14,147,161.8754717
2015-09-21,120,162.5471698
